2호선,뚝섬,16,0,5578,1978,12156,14348,30432,33096,38163,111169,23808,45161,18031,22582,18871,18839,19667,19327,21509,21876,20787,20320,23701,21248,27574,24044,34060,27533,79194,37355,46770,32331,26596,20877,24198,19552,18307,19725,7842,13592,1138,4518,2,71,0,0,0,0
2호선,성수,44,0,7120,3466,13208,26670,30167,76800,36754,258619,28551,76593,24190,34437,24498,27023,26617,26330,31849,29717,32327,28185,35335,29147,39664,30515,54530,34918,163944,42173,94305,36085,46286,23079,40511,20137,30533,19490,14030,14629,1962,9305,10,1346,0,0,0,0
2호선,건대입구,582,12,25640,2245,31962,19276,75938,33717,117798,84053,76087,61258,48272,55217,46414,57296,54036,70046,60726,75710,60191,74665,66742,79301,73994,91507,85687,118501,101828,180183,86099,164703,87535,100650,99719,88491,105391,81709,64369,52375,10787,18970,12,1482,0,0,0,0
2호선,구의,20,1,14303,1629,29514,14773,77455,18361,115231,52295,65864,33694,39394,25924,36035,23786,34046,26147,35996,30120,33217,32481,32507,37460,34924,41668,41996,51013,53995,76871,30479,74724,23486,50605,21715,50031,19306,50082,9990,30516,1588,10492,2,144,0,0,0,0
2호선,강변,85,2,11696,5222,36108,41672,111652,48691,158573,76444,114205,66053,93394,59120,87501,57511,83376,65900,83064,76094,77282,82556,78085,94176,81725,101873,93249,112928,99923,151301,86604,137352,71270,94915,69802,87829,51049,84808,20982,47380,3066,11980,1,98,0,0,0,0
2호선,잠실나루,26,0,4064,2067,19477,11405,60586,26134,66750,48093,39476,30200,30743,24135,29735,21877,28724,24924,27505,27002,26869,25846,30274,25945,32719,27310,37221,31760,42726,47070,24962,46601,19683,30304,16916,29836,11475,29707,5240,19770,794,6293,2,27,0,0,0,0
2호선,잠실,375,51,16867,7706,55591,82905,152742,96716,210173,164166,142026,143840,96679,109194,96556,119599,101544,112541,114801,117462,116834,118134,132578,124442,153622,133344,206071,148804,232912,217004,172964,187006,165057,114650,146248,106231,121253,109883,43759,69350,5406,17227,14,101,10,9,0,0
2호선,신천,38,7,8317,1206,24446,10650,77566,22367,95088,35723,58746,36025,40372,27511,37670,29639,38516,32280,39567,37569,34806,41102,36935,45354,42499,52248,46162,63848,53189,93739,40953,89591,35582,54946,38289,48555,38733,47093,25140,28294,4139,9581,2,87,1,1,0,0
2호선,종합운동장,26,2,3347,1352,10213,12674,27005,28865,36537,41611,25503,25221,18040,18565,18777,15787,17001,17583,19042,22407,19435,23803,21187,40474,25716,74176,30183,71564,33912,97985,35378,56342,51936,25907,71595,21392,59053,21999,31351,13950,3246,4244,7,185,0,0,0,0
2호선,삼성,218,5,5914,6080,10801,45207,24769,133739,32065,335891,30567,251828,31800,111707,45745,102032,56119,93836,76028,104307,86394,94633,109724,82598,125410,73367,162659,72782,289839,85917,194571,62469,143978,30267,127683,23780,97228,22165,30840,12928,4352,7820,0,2302,0,3,2,10
2호선,선릉,147,4,7669,7296,14963,40556,29485,125030,42062,307833,41365,222077,45739,94084,58600,65989,64001,60864,79414,69448,83957,61525,103118,55519,127624,56325,156878,58726,300882,67049,176207,50964,107745,30514,110584,26752,93828,25146,37927,15413,6262,6863,1,275,0,0,0,0
2호선,역삼,45,1,4806,8523,11250,36966,19257,132540,28637,365532,29245,261708,30534,100488,41344,76937,45411,59342,59860,69609,64011,61265,78942,56746,89413,50622,129229,53573,280601,63044,157174,48936,92255,28716,97195,22026,72602,19311,30311,13421,4995,4559,1,79,0,0,0,0
2호선,강남,273,4,16642,13583,27349,68314,53450,185003,80044,357537,67956,332767,66768,171843,87821,144513,108997,142044,145787,169001,144011,153764,171920,140802,190786,143401,234961,169375,355964,243186,258275,201636,206242,100624,257568,75580,276057,64782,124853,42392,21494,13160,6,146,4,0,0,0
2호선,교대,21,1,3799,7744,16251,33372,33287,85719,45260,181729,38078,160381,38605,81024,46127,71121,47328,64135,62057,71165,65977,67596,72784,60747,73515,61677,97076,67134,168539,90287,92359,65550,69082,36796,78291,33346,91092,33200,29679,19321,5157,5247,1,24,0,0,0,0
2호선,서초,7,0,1827,5962,8047,23882,16477,62041,26045,134395,28834,92774,22569,47999,31781,40405,28859,31162,38647,33657,39384,33787,44677,27684,52835,28358,62546,27929,113436,34903,54660,27829,35675,15043,41225,13387,37979,13617,11450,8435,1612,2289,0,7,0,0,0,0
2호선,방배,52,4,4215,3474,12620,12342,34898,33952,46348,89653,35056,60269,25799,36610,26774,29119,28597,29912,31979,32905,32328,31665,36381,30830,40222,33466,46314,37966,81282,46990,46872,40637,35367,27389,35602,24625,29124,27778,13360,16544,2301,4963,1,13,0,0,0,0
2호선,사당,68,6,14691,4476,28208,34946,84157,69529,112374,91946,77214,70030,53230,52177,51422,60805,55413,60709,63848,59466,67040,59817,66738,65963,71777,81907,80088,114683,110756,179451,87992,153037,79688,89639,91162,84404,92946,89006,53948,58503,9532,19177,5,989,0,0,0,0
2호선,낙성대,94,14,14027,2679,33713,15994,107681,28957,144768,57731,83966,42872,46290,33877,40598,28005,44005,31824,44286,33232,39904,35516,41399,39953,45736,45170,54133,55833,64744,93193,42461,99985,32783,67194,33677,66699,26457,72170,14555,49861,2323,15302,2,171,0,1,0,0
2호선,서울대입구,5112,22,35327,3121,54304,19773,156005,40041,200831,81213,124016,81521,76074,65328,70765,59241,73985,60455,79902,68398,73577,69963,77108,76354,86328,84852,96143,104033,110610,159472,75032,165845,61978,110013,60274,106363,56785,114439,31861,77598,5102,29134,5,5247,0,0,0,0
2호선,봉천,72,0,19260,1820,34725,8051,92367,16893,115741,30078,67033,25738,39245,22703,33293,23138,34309,24137,35088,26330,30730,28271,29842,34838,32616,41812,34595,50084,38483,74925,25400,73474,21437,48884,18669,46790,14881,49310,6040,29799,873,8886,1,289,0,0,0,0
